Household Name	Year	Vehicle Waste	Electricity Usage	Waste mass				Household Name	Quarter	Year	Vehicle Waste	Electricity Usage	Waste mass
Lee	2019	4027	2680	305				Lee	1	2019	893.994	750.4	93.33
Lee	2018	5134	2396	310				Lee	2	2019	821.508	600.32	69.235
Lee	2017	5365	2337	297				Lee	3	2019	1256.424	688.76	62.525
Lee	2016	4377	2573	331				Lee	4	2019	1055.074	640.52	79.91
								Lee	1	2018	1350.242	704.424	79.36
Household Name	Quarter	Year	Vehicle Waste	Electricity Usage	Waste mass			Lee	2	2018	1062.738	548.684	75.64
Lee	1	2019	1119.506	755.76	94.855			Lee	3	2018	1345.108	510.348	75.33
Lee	2	2019	877.886	648.56	67.1			Lee	4	2018	1375.912	632.544	79.67
Lee	3	2019	918.156	659.28	75.335			Lee	1	2017	1373.44	546.858	70.092
Lee	4	2019	1111.452	616.4	67.71			Lee	2	2017	1421.725	546.858	71.28
Lee	1	2018	1345.108	702.028	90.21			Lee	3	2017	1292.965	616.968	79.299
Lee	2	2018	1478.592	589.416	74.71			Lee	4	2017	1276.87	626.316	76.329
Lee	3	2018	1016.532	522.328	76.57			Lee	1	2016	1124.889	864.528	74.806
Lee	4	2018	1293.768	582.228	68.51			Lee	2	2016	984.825	535.184	85.729
Lee	1	2017	1314.425	635.664	90.288			Lee	3	2016	1352.493	640.677	81.095
Lee	2	2017	1132.015	553.869	67.122			Lee	4	2016	914.793	532.611	89.37
Lee	3	2017	1797.275	621.642	79.893								
Lee	4	2017	1121.285	525.825	59.697								
Lee	1	2016	1173.036	823.36	116.843								
Lee	2	2016	1164.282	537.757	80.102								
Lee	3	2016	1063.611	679.272	67.855								
Lee	4	2016	976.071	532.611	66.2								
